Regional,Municipio,Empreendimento,Modalidade,Classe,Atividade,Ano,Mes,Data de Publicacao,Decisao
SUPRAM Alto São Francisco,Itapecerica,WESLEY SILVA GOMES ME,LAS Cadastro,2,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,06/06/2019,Deferida
SUPRAM Alto São Francisco,Cláudio,FUNDICAO SANTA BARBARA LTDA EPP,LAS Cadastro,2,"B-03-07-7-Produção de fundidos de ferro e aço, sem tratamento químico superficial, inclusive a partir de reciclagem",2019,Junho,06/06/2019,Deferida
SUPRAM Alto São Francisco,Nova Serrana,INDUSTRIA E COMERCIO DE CALCADOS WALTER LINO LTDA,LAS Cadastro,2,C-09-03-2-Confecção de calçados de couro e artefatos diversos de couro,2019,Junho,06/06/2019,Deferida
SUPRAM Leste de Minas,Córrego Novo,PREFEITURA MUNICIPAL DE CORREGO NOVO USINA DE TRIAGEM E COMPOSTAGEM DE RESIDUOS SOLIDOS URBANOS,LAS RAS,2,E-03-07-9-Unidade de triagem de recicláveis e/ou de tratamento de resíduos orgânicos originados de resíduos sólidos urbanos,2019,Junho,04/06/2019,Deferida
SUPRAM Leste de Minas,Marilac,MINERACAO DUAS CORES LTDA ME,LAS RAS,2,A-01-01-5-Lavra subterrânea pegmatitos e gemas,2019,Junho,04/06/2019,Deferida
SUPRAM Sul de Minas,Pratápolis,JOSÉ CARLOS PEDROSO E OUTRO - FAZENDA FÁBRICA - MATRÍCULA 7.206,LAS Cadastro,2,G-02-02-1-Avicultura,2019,Junho,06/06/2019,Deferida
SUPRAM Sul de Minas,Jacutinga,MIGUEL RENATO ESPERANÇA E OUTROS ,LAS Cadastro,2,"G-01-01-5-Horticultura (floricultura, olericultura, fruticultura anual, viveiricultura e cultura de ervas medicinais e aromáticas) Pot.",2019,Junho,06/06/2019,Deferida
SUPRAM Sul de Minas,Machado,RODRIGO ZANNON BRAGA ,LAS Cadastro,2,G-02-02-1-Avicultura,2019,Junho,06/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Ituiutaba,FAZENDA BELA VISTA MAT 12042,LAS RAS,2,A-02-09-7-(DN74)Extração de rocha para produção de britas com ou sem tratamento,2019,Junho,06/06/2019,Arquivamento
SUPRAM Sul de Minas,São João del Rei,CALCINAÇÃO VITÓRIA LTDA.,LAS RAS,3,"A-02-07-0-Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento",2019,Junho,06/06/2019,Deferida
SUPRAM Jequitinhonha,Itinga,SIGMA MINERAÇÃO S.A./PROJETO GROTA DO CIRILO – PEGMATITO XUXA CAVA NORTE,LAC 2 - LP + LI,5,A-05-04-5-Pilhas de rejeito/estéril,2019,Junho,01/06/2019,Deferida
